         60341816 function calls (60338469 primitive calls) in 693.266 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 figure.py:747(get_frameon)
        2    0.000    0.000    0.000    0.000 figure.py:751(set_edgecolor)
        2    0.000    0.000    0.000    0.000 figure.py:759(set_facecolor)
        2    0.000    0.000    0.000    0.000 figure.py:78(as_list)
        2    0.000    0.000    0.000    0.000 figure.py:792(set_frameon)
        2    0.000    0.000    0.000    0.000 figure.py:82(<listcomp>)
        2    0.000    0.000    0.000    0.000 figure.py:84(<listcomp>)
        4    0.000    0.000    0.002    0.000 fnmatch.py:48(filter)
      316    0.000    0.000    0.001    0.000 font_manager.py:1075(get_default_size)
      196    0.001    0.000    0.002    0.000 font_manager.py:702(__hash__)
      196    0.000    0.000    0.000    0.000 font_manager.py:721(get_family)
      196    0.000    0.000    0.000    0.000 font_manager.py:739(get_style)
      196    0.000    0.000    0.000    0.000 font_manager.py:749(get_variant)
      196    0.000    0.000    0.000    0.000 font_manager.py:758(get_weight)
      196    0.000    0.000    0.000    0.000 font_manager.py:769(get_stretch)
      316    0.001    0.000    0.002    0.000 font_manager.py:787(get_size_in_points)
      196    0.000    0.000    0.000    0.000 font_manager.py:796(get_file)
      422    0.001    0.000    0.002    0.000 fromnumeric.py:1383(ravel)
      422    0.000    0.000    0.000    0.000 fromnumeric.py:1574(shape)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:1892(any)
        8    0.000    0.000    0.000    0.000 fromnumeric.py:1973(all)
      211    0.000    0.000    0.002    0.000 fromnumeric.py:2047(cumsum)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:2135(ptp)
      120    0.000    0.000    0.000    0.000 fromnumeric.py:2180(amax)
      120    0.000    0.000    0.000    0.000 fromnumeric.py:2271(amin)
       14    0.000    0.000    0.000    0.000 fromnumeric.py:2778(round_)
       74    0.000    0.000    0.002    0.000 fromnumeric.py:2796(mean)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:56(take)
        1    0.000    0.000    0.000    0.000 genericpath.py:111(_splitext)
      807    0.003    0.000    0.079    0.000 genericpath.py:16(exists)
     4301    0.013    0.000    0.013    0.000 getlimits.py:245(__init__)
     4301    0.002    0.000    0.002    0.000 getlimits.py:270(max)
       84    0.000    0.000    0.000    0.000 getlimits.py:94(__new__)
       12    0.000    0.000    0.000    0.000 glob.py:133(has_magic)
      804    0.000    0.000    0.000    0.000 glob.py:140(_ishidden)
        4    0.000    0.000    0.000    0.000 glob.py:22(iglob)
      804    0.000    0.000    0.007    0.000 glob.py:39(_iglob)
        4    0.000    0.000    0.003    0.001 glob.py:78(glob1)
        4    0.000    0.000    0.000    0.000 glob.py:89(<listcomp>)
        4    0.000    0.000    0.007    0.002 glob.py:9(glob)
     4826    0.001    0.000    0.001    0.000 gzip.py:107(seekable)
        1    0.000    0.000    0.000    0.000 gzip.py:123(__init__)
     4018    0.006    0.000    0.058    0.000 gzip.py:269(read)
     8845    0.003    0.000    0.003    0.000 gzip.py:296(closed)
        1    0.000    0.000    0.000    0.000 gzip.py:300(close)
     4826    0.009    0.000    0.037    0.000 gzip.py:350(seek)
        1    0.000    0.000    0.000    0.000 gzip.py:376(__init__)
        1    0.000    0.000    0.000    0.000 gzip.py:383(_init_read)
        1    0.000    0.000    0.000    0.000 gzip.py:387(_read_exact)
        1    0.000    0.000    0.000    0.000 gzip.py:403(_read_gzip_header)
      304    0.004    0.000    0.030    0.000 gzip.py:436(read)
      304    0.001    0.000    0.005    0.000 gzip.py:487(_add_read_data)
        1    0.000    0.000    0.000    0.000 gzip.py:74(__init__)
      306    0.003    0.000    0.006    0.000 gzip.py:80(read)
      304    0.001    0.000    0.001    0.000 gzip.py:93(prepend)
        4    0.000    0.000    0.000    0.000 idna.py:147(encode)
        2    0.000    0.000    0.000    0.000 idna.py:184(decode)
       18    0.000    0.000    0.002    0.000 ioloop.py:928(add_callback)
       54    0.000    0.000    0.000    0.000 iostream.py:227(_is_master_process)
       54    0.000    0.000    0.002    0.000 iostream.py:240(_schedule_flush)
       54    0.000    0.000    0.002    0.000 iostream.py:308(write)
        2    0.000    0.000    0.000    0.000 ipaddress.py:1099(_ip_int_from_string)
        2    0.000    0.000    0.000    0.000 ipaddress.py:1251(__init__)
        2    0.000    0.000    0.000    0.000 ipaddress.py:1630(_ip_int_from_string)
        2    0.000    0.000    0.000    0.000 ipaddress.py:1882(__init__)
        2    0.000    0.000    0.000    0.000 ipaddress.py:27(ip_address)
      211    0.001    0.000    0.012    0.000 label.py:113(fit_transform)
      211    0.000    0.000    0.000    0.000 label.py:42(_check_numpy_unicode_bug)
        3    0.000    0.000    0.000    0.000 linalg.py:101(get_linalg_error_extobj)
        3    0.000    0.000    0.000    0.000 linalg.py:106(_makearray)
        6    0.000    0.000    0.000    0.000 linalg.py:111(isComplexType)
        3    0.000    0.000    0.000    0.000 linalg.py:124(_realType)
        3    0.000    0.000    0.000    0.000 linalg.py:139(_commonType)
        3    0.000    0.000    0.000    0.000 linalg.py:198(_assertRankAtLeast2)
        3    0.000    0.000    0.000    0.000 linalg.py:209(_assertNdSquareness)
        3    0.000    0.000    0.000    0.000 linalg.py:458(inv)
        1    0.000    0.000    0.000    0.000 lines.py:1056(set_marker)
        1    0.000    0.000    0.000    0.000 lines.py:1074(set_markeredgecolor)
        1    0.000    0.000    0.000    0.000 lines.py:1086(set_markeredgewidth)
        1    0.000    0.000    0.000    0.000 lines.py:1098(set_markerfacecolor)
        1    0.000    0.000    0.000    0.000 lines.py:1110(set_markerfacecoloralt)
        1    0.000    0.000    0.000    0.000 lines.py:1122(set_markersize)
       41    0.000    0.000    0.000    0.000 lines.py:1133(set_xdata)
       33    0.000    0.000    0.000    0.000 lines.py:1143(set_ydata)
        4    0.000    0.000    0.004    0.001 lines.py:1169(_draw_lines)
        4    0.000    0.000    0.004    0.001 lines.py:1193(_draw_solid)
      144    0.000    0.000    0.001    0.000 lines.py:1242(_get_rgba_face)
        4    0.000    0.000    0.000    0.000 lines.py:1250(_get_rgba_ln_color)
        1    0.000    0.000    0.000    0.000 lines.py:1326(set_dash_joinstyle)
        1    0.000    0.000    0.000    0.000 lines.py:1339(set_solid_joinstyle)
        1    0.000    0.000    0.000    0.000 lines.py:1365(set_dash_capstyle)
        1    0.000    0.000    0.000    0.000 lines.py:1379(set_solid_capstyle)
        4    0.000    0.000    0.000    0.000 lines.py:1405(is_dashed)
        1    0.000    0.000    0.000    0.000 lines.py:252(__init__)
       72    0.000    0.000    0.000    0.000 lines.py:478(get_fillstyle)
        1    0.000    0.000    0.000    0.000 lines.py:484(set_fillstyle)
        1    0.000    0.000    0.000    0.000 lines.py:494(set_markevery)
       72    0.000    0.000    0.000    0.000 lines.py:549(get_markevery)
        2    0.000    0.000    0.000    0.000 lines.py:576(axes)
        1    0.000    0.000    0.000    0.000 lines.py:589(set_data)
       73    0.002    0.000    0.004    0.000 lines.py:606(recache)
       73    0.000    0.000    0.002    0.000 lines.py:666(_transform_path)
       76    0.000    0.000    0.002    0.000 lines.py:680(_get_transformed_path)
        1    0.000    0.000    0.000    0.000 lines.py:689(set_transform)
       76    0.002    0.000    0.026    0.000 lines.py:705(draw)
       72    0.000    0.000    0.000    0.000 lines.py:847(get_markeredgecolor)
      144    0.000    0.000    0.000    0.000 lines.py:862(_get_markerfacecolor)
        1    0.000    0.000    0.000    0.000 lines.py:919(get_path)
        1    0.000    0.000    0.000    0.000 lines.py:936(set_antialiased)
        2    0.000    0.000    0.000    0.000 lines.py:946(set_color)
        1    0.000    0.000    0.000    0.000 lines.py:955(set_drawstyle)
        1    0.000    0.000    0.000    0.000 lines.py:970(set_linewidth)
        1    0.000    0.000    0.000    0.000 lines.py:981(set_linestyle)
       43    0.000    0.000    0.000    0.000 logistic.py:1087(__init__)
      211    0.006    0.000    2.854    0.014 logistic.py:1107(fit)
      211    0.000    0.000    0.000    0.000 logistic.py:401(_check_solver_option)
        1    0.000    0.000    0.000    0.000 lzma.py:132(close)
        4    0.000    0.000    0.000    0.000 lzma.py:156(closed)
        1    0.000    0.000    0.000    0.000 lzma.py:170(readable)
        1    0.000    0.000    0.000    0.000 lzma.py:191(read)
        2    0.000    0.000    0.000    0.000 lzma.py:253(tell)
        1    0.000    0.000    0.009    0.009 lzma.py:48(__init__)
        1    0.000    0.000    0.000    0.000 markers.py:148(__init__)
        4    0.000    0.000    0.000    0.000 markers.py:184(_recache)
       76    0.000    0.000    0.000    0.000 markers.py:196(__bool__)
       72    0.000    0.000    0.000    0.000 markers.py:202(is_filled)
       72    0.000    0.000    0.000    0.000 markers.py:205(get_fillstyle)
        2    0.000    0.000    0.000    0.000 markers.py:208(set_fillstyle)
       72    0.000    0.000    0.000    0.000 markers.py:224(get_joinstyle)
       72    0.000    0.000    0.000    0.000 markers.py:227(get_capstyle)
      144    0.000    0.000    0.000    0.000 markers.py:230(get_marker)
        2    0.000    0.000    0.000    0.000 markers.py:233(set_marker)
       72    0.000    0.000    0.000    0.000 markers.py:257(get_path)
       72    0.000    0.000    0.001    0.000 markers.py:260(get_transform)
       72    0.000    0.000    0.000    0.000 markers.py:263(get_alt_path)
       72    0.000    0.000    0.000    0.000 markers.py:269(get_snap_threshold)
        4    0.000    0.000    0.000    0.000 markers.py:272(_set_nothing)
        4    0.000    0.000    0.000    0.000 mathtext.py:3072(__init__)
        4    0.000    0.000    0.000    0.000 message.py:121(__init__)
        8    0.000    0.000    0.000    0.000 message.py:30(_splitparam)
        2    0.000    0.000    0.000    0.000 message.py:304(set_payload)
        2    0.000    0.000    0.000    0.000 message.py:383(__getitem__)
        2    0.000    0.000    0.000    0.000 message.py:424(__contains__)
        2    0.000    0.000    0.000    0.000 message.py:425(<listcomp>)
       20    0.000    0.000    0.000    0.000 message.py:463(get)
       38    0.000    0.000    0.000    0.000 message.py:480(set_raw)
        8    0.000    0.000    0.000    0.000 message.py:565(get_content_type)
        6    0.000    0.000    0.000    0.000 message.py:589(get_content_maintype)
      211    0.000    0.000    0.001    0.000 multiclass.py:114(is_multilabel)
      211    0.000    0.000    0.009    0.000 multiclass.py:159(check_classification_targets)
      211    0.003    0.000    0.009    0.000 multiclass.py:177(type_of_target)
     4059    0.007    0.000    0.010    0.000 ntpath.py:120(splitdrive)
      811    0.005    0.000    0.008    0.000 ntpath.py:197(split)
        1    0.000    0.000    0.000    0.000 ntpath.py:220(splitext)
      807    0.001    0.000    0.009    0.000 ntpath.py:237(dirname)
      811    0.001    0.000    0.001    0.000 ntpath.py:35(_get_bothseps)
      804    0.001    0.000    0.001    0.000 ntpath.py:45(normcase)
        4    0.000    0.000    0.000    0.000 ntpath.py:465(normpath)
        4    0.000    0.000    0.000    0.000 ntpath.py:530(abspath)
     1620    0.005    0.000    0.014    0.000 ntpath.py:74(join)
      673    0.001    0.000    0.005    0.000 numeric.py:148(ones)
      508    0.002    0.000    0.002    0.000 numeric.py:2064(isscalar)
       47    0.000    0.000    0.001    0.000 numeric.py:2279(identity)
        8    0.000    0.000    0.000    0.000 numeric.py:2576(seterr)
        8    0.000    0.000    0.000    0.000 numeric.py:2676(geterr)
        4    0.000    0.000    0.000    0.000 numeric.py:2963(__init__)
        4    0.000    0.000    0.000    0.000 numeric.py:2967(__enter__)
        4    0.000    0.000    0.000    0.000 numeric.py:2972(__exit__)
    19754    0.010    0.000    0.019    0.000 numeric.py:414(asarray)
     2100    0.002    0.000    0.003    0.000 numeric.py:484(asanyarray)
       13    0.000    0.000    0.000    0.000 parse.py:100(_coerce_args)
        4    0.000    0.000    0.000    0.000 parse.py:288(urlparse)
        2    0.000    0.000    0.000    0.000 parse.py:313(_splitnetloc)
        4    0.000    0.000    0.000    0.000 parse.py:321(urlsplit)
        4    0.000    0.000    0.000    0.000 parse.py:360(<genexpr>)
        2    0.000    0.000    0.000    0.000 parse.py:377(urlunparse)
        2    0.000    0.000    0.000    0.000 parse.py:388(urlunsplit)
        1    0.000    0.000    0.000    0.000 parse.py:407(urljoin)
        2    0.000    0.000    0.000    0.000 parse.py:527(unquote)
        1    0.000    0.000    0.000    0.000 parse.py:670(quote)
        1    0.000    0.000    0.000    0.000 parse.py:731(quote_from_bytes)
        2    0.000    0.000    0.000    0.000 parse.py:846(unwrap)
        3    0.000    0.000    0.000    0.000 parse.py:855(splittype)
        2    0.000    0.000    0.000    0.000 parse.py:868(splithost)
       13    0.000    0.000    0.000    0.000 parse.py:89(_noop)
        2    0.000    0.000    0.000    0.000 parse.py:930(splittag)
        2    0.000    0.000    0.000    0.000 parser.py:18(__init__)
        2    0.000    0.000    0.001    0.000 parser.py:42(parse)
        2    0.000    0.000    0.001    0.000 parser.py:60(parsestr)
       17    0.000    0.000    0.001    0.000 patches.py:192(get_transform)
       12    0.000    0.000    0.000    0.000 patches.py:206(get_patch_transform)
        1    0.000    0.000    0.000    0.000 patches.py:224(get_edgecolor)
        1    0.000    0.000    0.000    0.000 patches.py:231(get_facecolor)
        2    0.000    0.000    0.000    0.000 patches.py:268(set_edgecolor)
        2    0.000    0.000    0.000    0.000 patches.py:284(set_facecolor)
       12    0.000    0.000    0.102    0.009 patches.py:479(draw)
        4    0.000    0.000    0.000    0.000 patches.py:649(get_path)
        5    0.000    0.000    0.001    0.000 patches.py:655(_update_patch_transform)
        5    0.000    0.000    0.001    0.000 patches.py:671(get_patch_transform)
       81    0.000    0.000    0.002    0.000 path.py:103(__init__)
      157    0.001    0.000    0.002    0.000 path.py:172(_fast_from_codes_and_verts)
       81    0.000    0.000    0.001    0.000 path.py:212(_update_values)
      505    0.000    0.000    0.000    0.000 path.py:221(vertices)
      253    0.000    0.000    0.000    0.000 path.py:235(codes)
      165    0.000    0.000    0.000    0.000 path.py:254(simplify_threshold)
      157    0.000    0.000    0.000    0.000 path.py:262(simplify_threshold)
      322    0.000    0.000    0.000    0.000 path.py:273(should_simplify)
      157    0.000    0.000    0.000    0.000 path.py:280(should_simplify)
        4    0.000    0.000    0.000    0.000 path.py:526(get_extents)
        4    0.000    0.000    0.000    0.000 path.py:616(unit_rectangle)
        1    0.000    0.000    0.000    0.000 pyplot.py:1512(xlabel)
        1    0.000    0.000    0.000    0.000 pyplot.py:1532(ylabel)
        1    0.000    0.000    0.002    0.002 pyplot.py:3145(plot)
        4    0.000    0.000    0.000    0.000 pyplot.py:571(gcf)
        1    0.000    0.000    3.558    3.558 pyplot.py:685(savefig)
        3    0.000    0.000    0.000    0.000 pyplot.py:910(gca)
     1095    0.002    0.000    0.023    0.000 re.py:170(search)
     1642    0.001    0.000    0.016    0.000 re.py:175(sub)
     1642    0.001    0.000    0.116    0.000 re.py:205(findall)
      807    0.001    0.000    0.002    0.000 re.py:222(compile)
     5186    0.006    0.000    0.006    0.000 re.py:278(_compile)
        2    0.000    0.000    0.000    0.000 request.py:1173(do_request_)
        2    0.000    0.000    1.170    0.585 request.py:1213(do_open)
        2    0.000    0.000    0.000    0.000 request.py:1227(<genexpr>)
        8    0.000    0.000    0.000    0.000 request.py:1240(<genexpr>)
        2    0.000    0.000    1.170    0.585 request.py:1295(https_open)
        1    0.000    0.000    1.171    1.171 request.py:140(urlopen)
        1    0.002    0.002    2.078    2.078 request.py:170(urlretrieve)
        1    0.000    0.000    0.000    0.000 request.py:248(request_host)
        2    0.000    0.000    0.000    0.000 request.py:266(__init__)
        6    0.000    0.000    0.000    0.000 request.py:284(full_url)
        2    0.000    0.000    0.000    0.000 request.py:290(full_url)
        7    0.000    0.000    0.000    0.000 request.py:303(data)
        2    0.000    0.000    0.000    0.000 request.py:307(data)
        2    0.000    0.000    0.000    0.000 request.py:321(_parse)
        3    0.000    0.000    0.000    0.000 request.py:329(get_method)
        2    0.000    0.000    0.000    0.000 request.py:334(get_full_url)
        2    0.000    0.000    0.000    0.000 request.py:345(has_proxy)
        4    0.000    0.000    0.000    0.000 request.py:352(add_unredirected_header)
        4    0.000    0.000    0.000    0.000 request.py:356(has_header)
      5/3    0.000    0.000    1.171    0.390 request.py:437(_call_chain)
      2/1    0.000    0.000    1.171    1.171 request.py:448(open)
        2    0.000    0.000    1.170    0.585 request.py:476(_open)
        1    0.000    0.000    0.641    0.641 request.py:491(error)
      2/1    0.000    0.000    0.641    0.641 request.py:575(http_response)
        1    0.000    0.000    0.000    0.000 request.py:600(redirect_request)
        1    0.000    0.000    0.000    0.000 request.py:627(<genexpr>)
        1    0.000    0.000    0.641    0.641 request.py:638(http_error_302)
        2    0.000    0.000    0.000    0.000 scale.py:48(limit_range_for_scale)
        8    0.000    0.000    0.000    0.000 shape_base.py:180(vstack)
        8    0.000    0.000    0.000    0.000 shape_base.py:230(<listcomp>)
       24    0.000    0.000    0.000    0.000 shape_base.py:61(atleast_2d)
        1    0.000    0.000    0.000    0.000 shape_base.py:9(atleast_1d)
      342    0.000    0.000    0.000    0.000 six.py:554(itervalues)
       12    0.000    0.000    0.000    0.000 six.py:557(iteritems)
        4    0.000    0.000    0.000    0.000 socket.py:129(__init__)
        2    0.000    0.000    0.000    0.000 socket.py:208(makefile)
        2    0.000    0.000    0.001    0.001 socket.py:393(_decref_socketios)
        2    0.001    0.001    0.001    0.001 socket.py:399(_real_close)
        4    0.000    0.000    0.001    0.000 socket.py:403(close)
        2    0.000    0.000    0.000    0.000 socket.py:409(detach)
        2    0.000    0.000    0.000    0.000 socket.py:419(family)
        2    0.000    0.000    0.000    0.000 socket.py:425(type)
        2    0.000    0.000    0.000    0.000 socket.py:549(__init__)
       63    0.000    0.000    1.518    0.024 socket.py:561(readinto)
       65    0.000    0.000    0.000    0.000 socket.py:600(readable)
        2    0.002    0.001    0.004    0.002 socket.py:638(close)
        2    0.000    0.000    0.362    0.181 socket.py:677(create_connection)
        2    0.000    0.000    0.068    0.034 socket.py:715(getaddrinfo)
        8    0.000    0.000    0.000    0.000 socket.py:87(_intenum_converter)
       12    0.000    0.000    0.000    0.000 spines.py:138(get_patch_transform)
       12    0.000    0.000    0.000    0.000 spines.py:145(get_path)
        8    0.000    0.000    0.000    0.000 spines.py:193(_adjust_location)
        8    0.000    0.000    0.004    0.001 spines.py:278(draw)
     4090    0.017    0.000    0.037    0.000 sputils.py:125(get_index_dtype)
      420    0.001    0.000    0.002    0.000 sputils.py:177(isscalarlike)
      928    0.002    0.000    0.004    0.000 sputils.py:182(isintlike)
     1183    0.003    0.000    0.003    0.000 sputils.py:198(isshape)
     1348    0.001    0.000    0.002    0.000 sputils.py:213(issequence)
      420    0.000    0.000    0.000    0.000 sputils.py:223(isdense)
      420    0.005    0.000    0.010    0.000 sputils.py:238(_unpack_index)
      464    0.001    0.000    0.001    0.000 sputils.py:26(upcast)
      420    0.000    0.000    0.000    0.000 sputils.py:266(_check_ellipsis)
      420    0.002    0.000    0.003    0.000 sputils.py:304(_check_boolean)
      211    0.000    0.000    0.000    0.000 sputils.py:60(upcast_char)
     1647    0.002    0.000    0.005    0.000 sputils.py:97(to_native)
        2    0.000    0.000    0.000    0.000 ssl.py:195(_dnsname_match)
        2    0.000    0.000    0.000    0.000 ssl.py:255(match_hostname)
        2    0.000    0.000    0.000    0.000 ssl.py:360(__new__)
        2    0.000    0.000    0.000    0.000 ssl.py:366(__init__)
        2    0.000    0.000    0.178    0.089 ssl.py:369(wrap_socket)
        4    0.000    0.000    0.007    0.002 ssl.py:407(_load_windows_store_certs)
        2    0.000    0.000    0.008    0.004 ssl.py:421(load_default_certs)
        2    0.000    0.000    0.008    0.004 ssl.py:430(create_default_context)
        2    0.000    0.000    0.000    0.000 ssl.py:543(__init__)
        2    0.000    0.000    0.000    0.000 ssl.py:548(context)
        4    0.000    0.000    0.000    0.000 ssl.py:562(server_hostname)
       63    0.000    0.000    1.518    0.024 ssl.py:568(read)
        2    0.000    0.000    0.000    0.000 ssl.py:580(write)
        2    0.000    0.000    0.000    0.000 ssl.py:588(getpeercert)
        2    0.000    0.000    0.178    0.089 ssl.py:631(do_handshake)
        2    0.000    0.000    0.178    0.089 ssl.py:667(__init__)
      130    0.000    0.000    0.000    0.000 ssl.py:771(_checkClosed)
        2    0.000    0.000    0.000    0.000 ssl.py:775(_check_connected)
       63    0.000    0.000    1.518    0.024 ssl.py:783(read)
        2    0.000    0.000    0.000    0.000 ssl.py:854(send)
        2    0.000    0.000    0.000    0.000 ssl.py:881(sendall)
       63    0.000    0.000    1.518    0.024 ssl.py:918(recv_into)
        2    0.000    0.000    0.001    0.001 ssl.py:977(_real_close)
        2    0.000    0.000    0.178    0.089 ssl.py:981(do_handshake)
       18    0.000    0.000    0.000    0.000 stack_context.py:253(wrap)
     1616    0.026    0.000    0.133    0.000 tarfile.py:1014(frombuf)
 1618/811    0.009    0.000    0.284    0.000 tarfile.py:1077(fromtarfile)
 1614/807    0.005    0.000    0.186    0.000 tarfile.py:1098(_proc_member)
      807    0.004    0.000    0.013    0.000 tarfile.py:1111(_proc_builtin)
      807    0.032    0.000    0.183    0.000 tarfile.py:1178(_proc_pax)
     1614    0.008    0.000    0.011    0.000 tarfile.py:1313(_apply_pax_info)
     9722    0.004    0.000    0.008    0.000 tarfile.py:1336(_decode_pax_field)
     1607    0.003    0.000    0.004    0.000 tarfile.py:1344(_block)
     1614    0.001    0.000    0.001    0.000 tarfile.py:1353(isreg)
     3235    0.001    0.000    0.001    0.000 tarfile.py:1357(isdir)
     1607    0.002    0.000    0.002    0.000 tarfile.py:1359(issym)
     1614    0.001    0.000    0.001    0.000 tarfile.py:1361(islnk)
        4    0.000    0.000    0.003    0.001 tarfile.py:1401(__init__)
        1    0.000    0.000    0.012    0.012 tarfile.py:1510(open)
    20176    0.016    0.000    0.030    0.000 tarfile.py:159(nts)
        4    0.000    0.000    0.003    0.001 tarfile.py:1599(taropen)
        1    0.000    0.000    0.002    0.002 tarfile.py:1607(gzopen)
        1    0.000    0.000    0.001    0.001 tarfile.py:1641(bz2open)
    12913    0.023    0.000    0.046    0.000 tarfile.py:167(nti)
        1    0.000    0.000    0.009    0.009 tarfile.py:1670(xzopen)
        1    0.000    0.000    0.000    0.000 tarfile.py:1709(close)
        1    0.007    0.007    1.596    1.596 tarfile.py:1975(extractall)
        7    0.000    0.000    0.000    0.000 tarfile.py:1999(<lambda>)
      807    0.008    0.000    1.262    0.002 tarfile.py:2015(extract)
      807    0.021    0.000    1.241    0.002 tarfile.py:2084(_extract_member)
        7    0.000    0.000    0.003    0.000 tarfile.py:2133(makedir)
      800    0.280    0.000    0.776    0.001 tarfile.py:2143(makefile)
     1614    0.009    0.000    0.038    0.000 tarfile.py:215(calc_chksums)
      807    0.001    0.000    0.001    0.000 tarfile.py:2212(chown)
      807    0.004    0.000    0.190    0.000 tarfile.py:2238(chmod)
      807    0.004    0.000    0.159    0.000 tarfile.py:2247(utime)
      812    0.011    0.000    0.319    0.000 tarfile.py:2258(next)
      800    0.007    0.000    0.038    0.000 tarfile.py:228(copyfileobj)
     1619    0.002    0.000    0.002    0.000 tarfile.py:2345(_check)
        1    0.000    0.000    0.000    0.000 tarfile.py:2373(__iter__)
      807    0.001    0.000    0.001    0.000 tarfile.py:2381(_dbg)
        1    0.000    0.000    0.000    0.000 tarfile.py:2409(__init__)
      808    0.006    0.000    0.324    0.000 tarfile.py:2418(__next__)
     1614    0.008    0.000    0.008    0.000 tarfile.py:731(__init__)
        8    0.000    0.000    0.000    0.000 text.py:1144(set_position)
       28    0.000    0.000    0.000    0.000 text.py:1153(set_x)
       24    0.000    0.000    0.000    0.000 text.py:1162(set_y)
       78    0.000    0.000    0.000    0.000 text.py:1198(set_text)
       80    0.000    0.000    0.001    0.000 text.py:1209(is_math_text)
       40    0.000    0.000    0.000    0.000 text.py:1259(get_usetex)
        2    0.000    0.000    0.000    0.000 text.py:237(update)
       80    0.000    0.000    0.001    0.000 text.py:293(get_rotation)
       40    0.000    0.000    0.000    0.000 text.py:311(get_rotation_mode)
       76    0.003    0.000    0.017    0.000 text.py:328(_get_layout)
       80    0.000    0.000    0.000    0.000 text.py:47(_wrap_text)
       40    0.000    0.000    0.000    0.000 text.py:625(get_wrap)
       80    0.000    0.000    0.000    0.000 text.py:64(get_rotation)
       50    0.002    0.000    0.097    0.002 text.py:734(draw)
       40    0.000    0.000    0.000    0.000 text.py:802(get_color)
      112    0.000    0.000    0.001    0.000 text.py:881(get_unitless_position)
        8    0.000    0.000    0.000    0.000 text.py:889(get_position)
       76    0.000    0.000    0.002    0.000 text.py:895(get_prop_tup)
      202    0.000    0.000    0.000    0.000 text.py:911(get_text)
       36    0.000    0.000    0.017    0.000 text.py:926(get_window_extent)
        2    0.000    0.000    0.000    0.000 textpath.py:33(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:72(RLock)
        4    0.000    0.000    0.000    0.000 ticker.py:1123(__call__)
        4    0.000    0.000    0.000    0.000 ticker.py:1126(tick_values)
        6    0.000    0.000    0.000    0.000 ticker.py:1301(scale_range)
        6    0.000    0.000    0.000    0.000 ticker.py:1403(bin_boundaries)
        4    0.000    0.000    0.000    0.000 ticker.py:1428(__call__)
        4    0.000    0.000    0.000    0.000 ticker.py:1432(tick_values)
        2    0.000    0.000    0.000    0.000 ticker.py:1445(view_limits)
        4    0.000    0.000    0.000    0.000 ticker.py:237(set_locs)
       40    0.000    0.000    0.000    0.000 ticker.py:447(fix_minus)
       36    0.000    0.000    0.000    0.000 ticker.py:454(__call__)
        4    0.000    0.000    0.000    0.000 ticker.py:497(get_offset)
        4    0.000    0.000    0.001    0.000 ticker.py:528(set_locs)
        4    0.000    0.000    0.000    0.000 ticker.py:539(_set_offset)
        4    0.000    0.000    0.000    0.000 ticker.py:560(_set_orderOfMagnitude)
        4    0.000    0.000    0.000    0.000 ticker.py:586(_set_format)
       36    0.000    0.000    0.000    0.000 ticker.py:621(pprint_val)
        4    0.000    0.000    0.000    0.000 ticker.py:989(raise_if_exceeds)
        1    0.000    0.000    0.000    0.000 transforms.py:1009(_get_minposx)
        1    0.000    0.000    0.000    0.000 transforms.py:1013(_get_minposy)
      150    0.000    0.000    0.000    0.000 transforms.py:1017(get_points)
        2    0.000    0.000    0.000    0.000 transforms.py:1035(set)
        1    0.000    0.000    0.000    0.000 transforms.py:1065(__init__)
       14    0.000    0.000    0.000    0.000 transforms.py:1090(get_points)
       23    0.000    0.000    0.000    0.000 transforms.py:1151(__add__)
        2    0.000    0.000    0.000    0.000 transforms.py:1177(_iter_break_from_left_to_right)
        6    0.000    0.000    0.000    0.000 transforms.py:1190(depth)
        1    0.000    0.000    0.000    0.000 transforms.py:1204(contains_branch)
        1    0.000    0.000    0.000    0.000 transforms.py:1224(contains_branch_seperately)
      133    0.000    0.000    0.004    0.000 transforms.py:127(invalidate)
       92    0.000    0.000    0.003    0.000 transforms.py:1293(transform)
  520/133    0.001    0.000    0.004    0.000 transforms.py:138(_invalidate_internal)
        2    0.000    0.000    0.000    0.000 transforms.py:1381(get_matrix)
       88    0.000    0.000    0.004    0.000 transforms.py:1389(transform_point)
        4    0.000    0.000    0.000    0.000 transforms.py:1403(transform_path)
        4    0.000    0.000    0.000    0.000 transforms.py:1414(transform_path_affine)
       84    0.000    0.000    0.002    0.000 transforms.py:1426(transform_path_non_affine)
        1    0.000    0.000    0.000    0.000 transforms.py:1547(__eq__)
      106    0.000    0.000    0.001    0.000 transforms.py:162(set_children)
      241    0.000    0.000    0.000    0.000 transforms.py:1620(_get_is_affine)
      362    0.000    0.000    0.003    0.000 transforms.py:1640(__init__)
      160    0.000    0.000    0.000    0.000 transforms.py:1644(__array__)
        8    0.000    0.000    0.000    0.000 transforms.py:1656(__eq__)
      177    0.000    0.000    0.001    0.000 transforms.py:1661(transform)
        4    0.000    0.000    0.000    0.000 transforms.py:1678(transform_path_affine)
      178    0.000    0.000    0.000    0.000 transforms.py:1687(get_affine)
