         60341816 function calls (60338469 primitive calls) in 693.266 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _base.py:263(_setdefaults)
        1    0.000    0.000    0.000    0.000 _base.py:2665(xaxis_inverted)
        1    0.000    0.000    0.000    0.000 _base.py:2670(get_xbound)
        1    0.000    0.000    0.000    0.000 _base.py:2683(set_xbound)
        3    0.000    0.000    0.000    0.000 _base.py:271(<genexpr>)
        3    0.000    0.000    0.000    0.000 _base.py:2710(get_xlim)
        1    0.000    0.000    0.000    0.000 _base.py:2716(set_xlim)
        1    0.000    0.000    0.000    0.000 _base.py:275(_makeline)
        2    0.000    0.000    0.000    0.000 _base.py:2808(get_xscale)
        1    0.000    0.000    0.000    0.000 _base.py:2925(yaxis_inverted)
        1    0.000    0.000    0.000    0.000 _base.py:2930(get_ybound)
        1    0.000    0.000    0.000    0.000 _base.py:2941(set_ybound)
        3    0.000    0.000    0.000    0.000 _base.py:2968(get_ylim)
        1    0.000    0.000    0.000    0.000 _base.py:2974(set_ylim)
        2    0.000    0.000    0.000    0.000 _base.py:3067(get_yscale)
        1    0.000    0.000    0.000    0.000 _base.py:333(_plot_args)
        3    0.000    0.000    0.000    0.000 _base.py:346(<genexpr>)
        2    0.000    0.000    0.000    0.000 _base.py:3590(get_children)
        2    0.000    0.000    0.000    0.000 _base.py:378(_grab_next_args)
        2    0.000    0.000    0.000    0.000 _base.py:797(get_position)
        2    0.000    0.000    0.000    0.000 _base.py:804(set_position)
        2    0.000    0.000    0.000    0.000 _base.py:853(get_axes_locator)
        1    0.000    0.000    0.000    0.000 _base.py:859(_set_artist_props)
      800    0.001    0.000    0.003    0.000 _bootlocale.py:11(getpreferredencoding)
     8850    0.006    0.000    0.009    0.000 _compression.py:12(_check_not_closed)
      249    0.001    0.000    0.001    0.000 _compression.py:120(seek)
        7    0.000    0.000    0.000    0.000 _compression.py:150(tell)
        2    0.000    0.000    0.000    0.000 _compression.py:16(_check_can_read)
        3    0.000    0.000    0.000    0.000 _compression.py:36(readable)
        3    0.000    0.000    0.000    0.000 _compression.py:39(__init__)
        3    0.000    0.000    0.000    0.000 _compression.py:59(close)
     4826    0.004    0.000    0.005    0.000 _compression.py:63(seekable)
      306    0.003    0.000    0.034    0.000 _compression.py:66(readinto)
        2    0.000    0.000    0.000    0.000 _compression.py:72(read)
      722    0.000    0.000    0.011    0.000 _methods.py:25(_amax)
      708    0.000    0.000    0.006    0.000 _methods.py:28(_amin)
      211    0.000    0.000    0.009    0.000 _methods.py:31(_sum)
        2    0.000    0.000    0.000    0.000 _methods.py:37(_any)
       91    0.000    0.000    0.001    0.000 _methods.py:40(_all)
       74    0.000    0.000    0.000    0.000 _methods.py:43(_count_reduce_items)
       74    0.001    0.000    0.002    0.000 _methods.py:53(_mean)
       16    0.000    0.000    0.000    0.000 _policybase.py:277(_sanitize_header)
       38    0.000    0.000    0.000    0.000 _policybase.py:289(header_source_parse)
       16    0.000    0.000    0.000    0.000 _policybase.py:307(header_fetch_parse)
        4    0.000    0.000    0.000    0.000 _pylab_helpers.py:119(get_active)
      340    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
      340    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
      340    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
    39455    0.065    0.000    0.065    0.000 _weakrefset.py:70(__contains__)
    20044    0.092    0.000    0.157    0.000 abc.py:178(__instancecheck__)
      844    0.009    0.000    0.021    0.000 arraysetops.py:96(unique)
        1    0.000    0.000    0.000    0.000 artist.py:1002(mouseover)
      205    0.000    0.000    0.000    0.000 artist.py:182(convert_xunits)
      197    0.000    0.000    0.000    0.000 artist.py:191(convert_yunits)
      927    0.000    0.000    0.000    0.000 artist.py:224(axes)
        2    0.000    0.000    0.000    0.000 artist.py:232(axes)
  772/531    0.001    0.000    0.001    0.000 artist.py:256(stale)
        9    0.000    0.000    0.000    0.000 artist.py:314(pchanged)
        1    0.000    0.000    0.000    0.000 artist.py:322(is_transform_set)
        1    0.000    0.000    0.000    0.000 artist.py:329(set_transform)
      167    0.000    0.000    0.000    0.000 artist.py:341(get_transform)
      190    0.000    0.000    0.000    0.000 artist.py:43(before)
      190    0.000    0.000    0.000    0.000 artist.py:50(after)
      128    0.000    0.000    0.000    0.000 artist.py:510(get_gid)
       16    0.000    0.000    0.000    0.000 artist.py:524(get_snap)
       16    0.000    0.000    0.000    0.000 artist.py:558(get_sketch_params)
    190/2    0.001    0.000    0.280    0.140 artist.py:59(draw_wrapper)
      128    0.000    0.000    0.000    0.000 artist.py:614(get_path_effects)
        1    0.000    0.000    0.000    0.000 artist.py:624(set_figure)
        1    0.000    0.000    0.001    0.001 artist.py:657(set_clip_path)
       40    0.000    0.000    0.000    0.000 artist.py:713(get_alpha)
      116    0.000    0.000    0.000    0.000 artist.py:72(_stale_axes_callback)
      254    0.000    0.000    0.000    0.000 artist.py:720(get_visible)
      785    0.000    0.000    0.000    0.000 artist.py:724(get_animated)
        1    0.000    0.000    0.000    0.000 artist.py:736(get_clip_path)
      128    0.000    0.000    0.000    0.000 artist.py:765(_set_gc_clip)
      380    0.000    0.000    0.000    0.000 artist.py:775(get_rasterized)
      380    0.000    0.000    0.000    0.000 artist.py:792(get_agg_filter)
        3    0.000    0.000    0.000    0.000 artist.py:841(update)
        1    0.000    0.000    0.000    0.000 artist.py:86(__init__)
        1    0.000    0.000    0.000    0.000 artist.py:864(get_label)
        2    0.000    0.000    0.000    0.000 artist.py:870(set_label)
        2    0.000    0.000    0.000    0.000 artist.py:883(get_zorder)
        4    0.000    0.000    0.000    0.000 artist.py:889(set_zorder)
        1    0.000    0.000    0.000    0.000 artist.py:921(set)
        4    0.000    0.000    0.018    0.004 axis.py:1047(_get_tick_bboxes)
        4    0.000    0.000    0.143    0.036 axis.py:1098(draw)
        2    0.000    0.000    0.000    0.000 axis.py:1271(get_major_locator)
        4    0.000    0.000    0.000    0.000 axis.py:1287(get_major_ticks)
        4    0.000    0.000    0.000    0.000 axis.py:1310(get_minor_ticks)
        3    0.000    0.000    0.000    0.000 axis.py:1376(update_units)
        1    0.000    0.000    0.000    0.000 axis.py:1432(have_units)
        6    0.000    0.000    0.000    0.000 axis.py:1435(convert_units)
        2    0.000    0.000    0.000    0.000 axis.py:1469(set_label_text)
        4    0.000    0.000    0.001    0.000 axis.py:1710(_get_pixel_distance_along_axis)
        2    0.000    0.000    0.001    0.000 axis.py:1767(_update_label_position)
        2    0.000    0.000    0.000    0.000 axis.py:1805(_update_offset_text_position)
        6    0.000    0.000    0.000    0.000 axis.py:1910(get_view_interval)
